feature,beta
type_regcar,-0.14742619309519903
type_sportcar,-1.456936180808015
type_sportuv,-0.28209075987396615
type_stwagon,-0.9694326184937394
type_truck,-0.9626500871456424
fuel_cng,-2.4251173480114065
fuel_electric,-1.4768945502519077
fuel_methanol,-3.6703814829561914
price,-0.2677751419407096
speed,-0.03229881996419574
pollution,0.0714666642185872
size,0.05178796257400778
asc_alt2,-1.186203801505088
asc_alt3,-1.4666371725267777
asc_alt4,-2.343393513818938
asc_alt5,-2.6245325234944867
asc_alt6,-3.9110335464011214
college_x_fuel_electric,0.6016908126729336
hsg2_x_size,0.295975226012561
coml5_x_price,-0.23751174563860872
